S.no,Round,Institute,Program,Stream,Quota,Category,Seat Gender,Opening Rank,Closing Rank,Remark
1,Round 1,D. D. U. Gorakhpur University, Gorakhpur,Electronics and Communication Engineering (Shift I),B.Tech,Home State,BC(Girl),Female Seats,487136.00,501836.00,Fresh Only
2,Round 1,ABES ENGG.COLLEGE,GHAZIABAD,Computer Science and Engineering (Shift I),B.Tech,Home State,OPEN(AF),Both Male and Female Seats,181627.00,204483.00,Fresh Only
3,Round 1,KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. &amp; TECHNOLOGY),GHAZIABAD,Computer Science Information Technology (Shift I),B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,173362.00,182415.00,Fresh Only
4,Round 1,PSIT-PRANVEER SINGH INSTITUTE OF TECHNOLOGY, KANPUR,Electronics and Communication Engineering (Shift I)(FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,184150.00,342466.00,Fresh Only
5,Round 1,PSIT-PRANVEER SINGH INSTITUTE OF TECHNOLOGY, KANPUR,Information Technology (Shift I),B.Tech,Home State,BC(Girl),Female Seats,896694.00,985118.00,Fresh Only
6,Round 1,PSIT-PRANVEER SINGH INSTITUTE OF TECHNOLOGY, KANPUR,Information Technology (Shift I),B.Tech,Home State,SC(Girl),Female Seats,946244.00,946244.00,Fresh Only
7,Round 1,PSIT-PRANVEER SINGH INSTITUTE OF TECHNOLOGY, KANPUR,Computer Science and Engineering (Artificial Intelligence) (Shift I),B.Tech,Home State,BC,Both Male and Female Seats,688501.00,973676.00,Fresh Only
8,Round 1,PSIT-PRANVEER SINGH INSTITUTE OF TECHNOLOGY, KANPUR,Artificial Intelligence (AI) And Data Science (Shift I),B.Tech,Home State,OPEN(GIRL),Female Seats,1068630.00,1068630.00,Fresh Only
9,Round 1,PSIT-PRANVEER SINGH INSTITUTE OF TECHNOLOGY, KANPUR,Computer Science and Engineering (Data Science) (Shift I),B.Tech,Home State,OPEN(GIRL),Female Seats,735977.00,937576.00,Fresh Only
10,Round 1,ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD,Information Technology (Shift I),B.Tech,Home State,OPEN(GIRL),Female Seats,359612.00,396699.00,Fresh Only
